#: table_doi: 10.17182/hepdata.86210.v1/t7
#: name: Table 7
#: description: Additional systematic error for PBPB 0-5 pct data: +2.2 pct -2.2 pct
Additional systematic error for PBPB 5-10 pct data: +2.2 pct -2.2 pct
Additional systematic error for PBPB 10-20 pct data: +2.4 pct -2.4 pct
Additional systematic error for PBPB 20-30 pct data: +2.7 pct -2.7 pct
Additional systematic error for PBPB 30-40 pct data: +3.4 pct -3.4 pct
Additional systematic error for PBPB 40-50 pct data: +3.7 pct -3.7 pct
Additional systematic error for PBPB 50-60 pct data: +4.9 pct -4.9 pct
Additional systematic error for PBPB 60-70 pct data: +6.7 pct -6.7 pct
Additional systematic error for PBPB 70-80 pct data: +7.1 pct -7.1 pct.

#: data_file: Fig6_PbPb_2760GeV.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: RAA
#: keyword cmenergies: 2760
#: CENT,,,0-5 pct
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X,,,,
#: SQRT(S)/NUCLEON,,,2760.0 GeV
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,RAA,stat +,stat -,sys +,sys -
0.32499999999999996,0.3,0.35,0.258222,7.6755e-05,-7.6755e-05,0.012279,-0.012279
0.375,0.35,0.4,0.269357,8.1879e-05,-8.1879e-05,0.012903,-0.012903
0.42500000000000004,0.4,0.45,0.2811,8.8692e-05,-8.8692e-05,0.013111,-0.013111
0.475,0.45,0.5,0.293107,9.9064e-05,-9.9064e-05,0.013602,-0.013602
0.525,0.5,0.55,0.306295,0.00011277,-0.00011277,0.013746,-0.013746
0.575,0.55,0.6,0.319582,0.00012754,-0.00012754,0.014208,-0.014208
0.625,0.6,0.65,0.333645,0.00014492,-0.00014492,0.01421,-0.01421
0.675,0.65,0.7,0.346421,0.00016432,-0.00016432,0.014388,-0.014388
0.725,0.7,0.75,0.359773,0.0001846,-0.0001846,0.015397,-0.015397
0.775,0.75,0.8,0.37184,0.00020625,-0.00020625,0.015902,-0.015902
0.825,0.8,0.85,0.383695,0.00022979,-0.00022979,0.016444,-0.016444
0.875,0.85,0.9,0.395039,0.00025529,-0.00025529,0.017828,-0.017828
0.925,0.9,0.95,0.405941,0.00028271,-0.00028271,0.019546,-0.019546
0.975,0.95,1.0,0.417087,0.0003089,-0.0003089,0.018766,-0.018766
1.05,1.0,1.1,0.431874,0.00024598,-0.00024598,0.019864,-0.019864
1.15,1.1,1.2,0.449455,0.00028454,-0.00028454,0.020876,-0.020876
